"","state","district","office_type","rep_name","dem_name","weird"
"464","VA",0,"Senate","Unknown","Tim Kaine",""
"465","WA",0,"Senate","Unknown","Unknown",""
"466","WV",0,"Senate","Unknown","Unknown",""
"467","WI",0,"Senate","Unknown","Tammy Baldwin",""
"468","WY",0,"Senate","Unknown","Unknown","We are not predicting this race since there is no Democratic candidate in this election."
"469","DE",0,"Governor","Jerry Price","Unknown",""
"470","IN",0,"Governor","Unknown","Jennifer McCormick",""
"471","MO",0,"Governor","Unknown","Unknown",""
"472","MT",0,"Governor","Unknown","Unknown",""
"473","NH",0,"Governor","Unknown","Unknown",""
"474","NC",0,"Governor","Mark Robinson","Josh Stein",""
"475","ND",0,"Governor","Unknown","Merrill Piepkorn",""
"476","UT",0,"Governor","Unknown","Brian King",""
"477","VT",0,"Governor","Phil Scott","Esther Charlestin",""
"478","WA",0,"Governor","Unknown","Unknown",""
"479","WV",0,"Governor","Unknown","Steve Williams",""
"480","AL",0,"President","Donald Trump","Joe Biden",""
"481","AK",0,"President","Donald Trump","Joe Biden",""
"482","AZ",0,"President","Donald Trump","Joe Biden",""
"483","AR",0,"President","Donald Trump","Joe Biden",""
"484","CA",0,"President","Donald Trump","Joe Biden",""
"485","CO",0,"President","Donald Trump","Joe Biden",""
"486","CT",0,"President","Donald Trump","Joe Biden",""
"487","DE",0,"President","Donald Trump","Joe Biden",""
"488","FL",0,"President","Donald Trump","Joe Biden",""
"489","GA",0,"President","Donald Trump","Joe Biden",""
"490","HI",0,"President","Donald Trump","Joe Biden",""
"491","ID",0,"President","Donald Trump","Joe Biden",""
"492","IL",0,"President","Donald Trump","Joe Biden",""
"493","IN",0,"President","Donald Trump","Joe Biden",""
"494","IA",0,"President","Donald Trump","Joe Biden",""
"495","KS",0,"President","Donald Trump","Joe Biden",""
"496","KY",0,"President","Donald Trump","Joe Biden",""
"497","LA",0,"President","Donald Trump","Joe Biden",""
"498","ME",0,"President","Donald Trump","Joe Biden",""
"499","ME",1,"President","Donald Trump","Joe Biden",""
"500","ME",2,"President","Donald Trump","Joe Biden",""
"501","MD",0,"President","Donald Trump","Joe Biden",""
"502","MA",0,"President","Donald Trump","Joe Biden",""
"503","MI",0,"President","Donald Trump","Joe Biden",""
"504","MN",0,"President","Donald Trump","Joe Biden",""
"505","MS",0,"President","Donald Trump","Joe Biden",""
"506","MO",0,"President","Donald Trump","Joe Biden",""
"507","MT",0,"President","Donald Trump","Joe Biden",""
"508","NE",0,"President","Donald Trump","Joe Biden",""
"509","NE",1,"President","Donald Trump","Joe Biden",""
"510","NE",2,"President","Donald Trump","Joe Biden",""
"511","NE",3,"President","Donald Trump","Joe Biden",""
"512","NV",0,"President","Donald Trump","Joe Biden",""
"513","NH",0,"President","Donald Trump","Joe Biden",""
"514","NJ",0,"President","Donald Trump","Joe Biden",""
"515","NM",0,"President","Donald Trump","Joe Biden",""
"516","NY",0,"President","Donald Trump","Joe Biden",""
"517","NC",0,"President","Donald Trump","Joe Biden",""
"518","ND",0,"President","Donald Trump","Joe Biden",""
"519","OH",0,"President","Donald Trump","Joe Biden",""
"520","OK",0,"President","Donald Trump","Joe Biden",""
"521","OR",0,"President","Donald Trump","Joe Biden",""
"522","PA",0,"President","Donald Trump","Joe Biden",""
"523","RI",0,"President","Donald Trump","Joe Biden",""
"524","SC",0,"President","Donald Trump","Joe Biden",""
"525","SD",0,"President","Donald Trump","Joe Biden",""
"526","TN",0,"President","Donald Trump","Joe Biden",""
"527","TX",0,"President","Donald Trump","Joe Biden",""
"528","UT",0,"President","Donald Trump","Joe Biden",""
"529","VT",0,"President","Donald Trump","Joe Biden",""
"530","VA",0,"President","Donald Trump","Joe Biden",""
"531","WA",0,"President","Donald Trump","Joe Biden",""
"532","WV",0,"President","Donald Trump","Joe Biden",""
"533","WI",0,"President","Donald Trump","Joe Biden",""
"534","WY",0,"President","Donald Trump","Joe Biden",""
"535","DC",0,"President","Donald Trump","Joe Biden",""
