State,District,Office_type,R_name,D_name,Unopposed/independent,Incumbent,Incumbent_margin,Sabato,Weird
Missouri,06,House,"Sam Graves /
Freddie Griffin Jr. /
Brandon Kleinmeyer /
Weldon Woodward","Erik Richardson /
Rich Gold /
Pam May",n/a,TRUE,,Safe R,
Missouri,07,House,"Eric Burlison /
John Adair /
Camille Lombardi-Olive /
Audrey Richards",Missi Hesketh,"Natalie Faucett /
Kevin Craig",TRUE,,Safe R,
Missouri,08,House,"Jason Smith /
James Snider /
Grant Heithold","Randi McCallian /
Franklin Delano Roth II",Jake Dawson,TRUE,,Safe R,
Montana,01,House,"Ryan Zinke /
Cory Moran",Monica Tranel,n/a,TRUE,,Lean R,
Montana,02,House,"Elsie Arntzen /
Kenneth Bogner /
Troy Downing /
Ric Holden /
Joel Krautter /
Edward Walker /
Stacy Zinn","Ming Cabrera /
Kevin Hamm",n/a,FALSE,,Safe R,
Nebraska,01,House,"Mike Flood /
Ava Solomon",Carol Blood,Ava Solomon,TRUE,,Safe R,
Nebraska,02,House,"Don Bacon /
Dan Frei",Tony Vargas,n/a,TRUE,,Tossup,
Nebraska,03,House,"Adrian Smith /
Robert McCuiston /
John Walz","Daniel Ebers /
David Else",n/a,TRUE,,Safe R,
Nevada,01,House,"Michael Boris /
Flemming Larsen /
Ronald Quince /
Mark Robertson",Dina Titus,n/a,TRUE,,Likely D,
Nevada,02,House,"Mark Amodei /
Aaron Kifle",n/a,Unopposed,TRUE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
Nevada,03,House,"Elizabeth Helgelien /
Drew Johnson /
Steve London /
Brian Nadell /
Steve Schiffman /
Dan Schwartz",Susie Lee,n/a,TRUE,,Likely D,
Nevada,04,House,"David Flippo /
Bruce Frazey /
John J. Lee /
Alberto Orozco","Steven Horsford /
Levy Shultz",n/a,TRUE,,Likely D,
New Hampshire,01,House,"Christian Bright /
Jake Frazier /
Hollie Noveletsky /
Russell Prescott",Chris Pappas,n/a,TRUE,,Likely D,
New Hampshire,02,House,"Mark Kilbane /
Jason Riddle /
Lily Williams",Annie Kuster,n/a,TRUE,,Likely D,
New Jersey,01,House,"Damon Galdo /
Nicholas Whitelock",Donald Norcross,Joseph Spataro,TRUE,,Safe D,
New Jersey,02,House,Jeff Van Drew,"Tim Alexander /
Carolyn Rush /
Brandon Saffold /
Joe Salerno",n/a,TRUE,,Safe R,
New Jersey,03,House,"Shirley Maia-Cusick /
Gregory Sobocinski","Joseph Cohn /
Herbert C. Conaway Jr. /
Carol Murphy /
Sarah Schoengood",n/a,FALSE,,Likely D,
New Jersey,04,House,Chris Smith,Pam Daniels,n/a,TRUE,,Safe R,
New Jersey,05,House,Mary Jo Guinchard,Josh Gottheimer,n/a,TRUE,,Safe D,
New Jersey,06,House,"Scott Fegler /
Brian Largey",Frank Pallone Jr.,Justin Maldonado,TRUE,,Safe D,
New Jersey,07,House,Thomas Kean Jr.,Susan Altman,n/a,TRUE,,Lean R,
New Jersey,08,House,Anthony Valdes,"Robert Menendez Jr. /
Ravinder Bhalla /
Kyle Jasey",n/a,TRUE,,Safe D,
New Jersey,09,House,Vincent Micco,"Bill Pascrell /
William Henry",n/a,TRUE,,Safe D,
New Jersey,10,House,Carmen Bucco,Donald Payne Jr.,n/a,TRUE,,Safe D,
New Jersey,11,House,Raafat Barsoom,Mikie Sherrill,n/a,TRUE,,Safe D,
New Jersey,12,House,"Shola Coker /
Darius Mayfield",Bonnie Watson Coleman,n/a,TRUE,,Safe D,
New Mexico,01,House,"Steve Jones /
Louie Sanchez",Melanie Ann Stansbury,n/a,TRUE,,Safe D,
New Mexico,02,House,Yvette Herrell,Gabriel Vasquez,n/a,TRUE,,Lean D,
New Mexico,03,House,Sharon E. Clahchischilliage,Teresa Leger Fernandez,n/a,TRUE,,Safe D,
New York,01,House,Nicholas J. LaLota,"Andy DeCecco /
Saint Jermaine Endeley /
James Gaughran /
Nancy Goroff /
Craig Herskowitz /
Kyle Hill","Patrick Denman /
Daniel Foti /
Jarrett Matthews Adorno",TRUE,,Likely R,
New York,02,House,"Andrew Garbarino /
Shannon Stephens",Rob Lubin,n/a,TRUE,,Safe R,
New York,03,House,"Peter Christofides /
Kellen Curry /
Philip Grillo /
Gregory Hach /
Thomas Ludwig /
Harvey Manes /
Daniel Norber /
Mike Sapraicone /
Jim Toes","Steve Behar /
Austin Cheng /
Scott Livingston /
William Murphy /
Tom Suozzi","Ryan Kalata /
Matthew Nappo /
Jacob Soto",TRUE,,Tossup,
New York,04,House,Anthony D'Esposito,"David Denenberg /
Laura Gillen /
Lawrence Henry /
Gian Jones /
Patricia Maher /
Kevin Thomas",n/a,TRUE,,Tossup,
New York,05,House,"Paul King /
Dwayne Moore",Gregory W. Meeks,n/a,TRUE,,Safe D,
New York,06,House,Joseph Chou,"Grace Meng /
Kimberly Cruz /
Muzib Huq",n/a,TRUE,,Safe D,
New York,07,House,William Kregler,Nydia Velazquez,n/a,TRUE,,Safe D,
New York,08,House,Darrion Stewart,Hakeem Jeffries,n/a,TRUE,,Safe D,
New York,09,House,Joel Anabilah-Azumah,Yvette D. Clarke,n/a,TRUE,,Safe D,
New York,10,House,n/a,"Daniel Goldman /
Bruno Grandsard",Unopposed,TRUE,,Safe D,We are not predicting this race since there is no Republican candidate.
New York,11,House,"Nicole Malliotakis /
Nicholas Robbins",Sarah Blas,n/a,TRUE,,Safe R,
New York,12,House,n/a,Jerrold Nadler,Unopposed,TRUE,,Safe D,We are not predicting this race since there is no Republican candidate.
New York,13,House,n/a,"Adriano Espaillat /
Lindsey Williams",Unopposed,TRUE,,Safe D,We are not predicting this race since there is no Republican candidate.
New York,14,House,"Stefania Brunetiis /
Patrick Delices /
Tina Forte /
Jonathan Rinaldi",Alexandria Ocasio-Cortez,n/a,TRUE,,Safe D,
New York,15,House,n/a,Ritchie Torres,Jose Vega,TRUE,,Safe D,We are not predicting this race since there is no Republican candidate.
New York,16,House,"Madeline Brame /
Chris Wright","Jamaal Bowman /
Marty Dolan /
Michael Gerald /
George Latimer",n/a,TRUE,,Safe D,
New York,17,House,Michael Lawler,"MaryAnn Carr /
Mondaire Jones",n/a,TRUE,,Tossup,
New York,18,House,"Alison Esposito /
Lovelynn Gwinn","Pat Ryan /
Alexander Saulino",n/a,TRUE,,Lean D,
New York,19,House,Marcus Molinaro,"Dan Buttermann /
John Cerullo /
Josh Riley",n/a,TRUE,,Tossup,
New York,20,House,"Alexander Dubois /
Jonathon Locke","Paul Tonko /
Mason Brown /
Emmanuel Jorge-Garcia",n/a,TRUE,,Safe D,
New York,21,House,"Elise Stefanik /
Jill Lochner",Steven Holden,n/a,TRUE,,Safe R,
New York,22,House,Brandon Williams,"Jacob Addington /
Clemmie Harris /
Sarah Klee Hood /
Katelyn Kriesel /
John Mannion",n/a,TRUE,,Tossup,
New York,23,House,Nick Langworthy,Thomas Carle,n/a,TRUE,,Safe R,
New York,24,House,"Claudia Tenney /
Mario Fratto /
Phillip Gioia",David Wagenhauser,n/a,TRUE,,Safe R,
New York,25,House,Gregg Sadwick,Joseph Morelle,n/a,TRUE,,Safe D,
New York,26,House,Anthony Marecki,"Timothy M. Kennedy /
Nate McMurray",n/a,FALSE,,Safe D,
North Carolina,01,House,Laurie Buckhout,Donald Davis,n/a,TRUE,,Tossup,
North Carolina,02,House,Alan Swain,Deborah Ross,n/a,TRUE,,Safe D,
North Carolina,03,House,Gregory Murphy,n/a,Gheorghe Cormos,TRUE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
North Carolina,04,House,Eric Blankenburg,Valerie Foushee,Guy Meilleur,TRUE,,Safe D,
North Carolina,05,House,Virginia Foxx,Chuck Hubbard,n/a,TRUE,,Safe R,
North Carolina,06,House,Addison McDowell,n/a,Unopposed,FALSE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
North Carolina,07,House,David Rouzer,Marlando Pridgen,n/a,TRUE,,Safe R,
North Carolina,08,House,Mark Harris,Justin Dues,n/a,FALSE,,Safe R,
North Carolina,09,House,Richard Hudson,Nigel Bristow,n/a,TRUE,,Safe R,
North Carolina,10,House,Pat Harrigan,Ralph Scott Jr.,n/a,FALSE,,Safe R,
North Carolina,11,House,Chuck Edwards,Caleb Rudow,n/a,TRUE,,Safe R,
North Carolina,12,House,Addul Ali,Alma Adams,n/a,TRUE,,Safe D,
North Carolina,13,House,"Kelly Daughtry /
Brad Knott",Frank Pierce,n/a,FALSE,,Safe R,
North Carolina,14,House,Timothy K. Moore,Pamela Genant,n/a,FALSE,,Safe R,
North Dakota,at-large,House,"Rick Becker /
Tom Campbell",Trygve Hammer,Richard Grayson,FALSE,,Safe R,
Ohio,01,House,Orlando Sonza,Greg Landsman,n/a,TRUE,,Likely D,
Ohio,02,House,David Taylor,Samantha Meadows,n/a,FALSE,,Safe R,
Ohio,03,House,Michael Young,Joyce Beatty,n/a,TRUE,,Safe D,
Ohio,04,House,Jim Jordan,Tamie Wilson,n/a,TRUE,,Safe R,
Ohio,05,House,Bob Latta,Keith Mundy,n/a,TRUE,,Safe R,
Ohio,06,House,Michael Rulli,Michael Kripchak,William Farms,FALSE,,Safe R,
Ohio,07,House,Max Miller,Matthew Diemer,Dennis Kucinich,TRUE,,Safe R,
Ohio,08,House,Warren Davidson,Vanessa Enoch,n/a,TRUE,,Safe R,
Ohio,09,House,Derek Merrin,Marcy Kaptur,n/a,TRUE,,Lean D,
Ohio,10,House,Michael Turner,Amy Cox,Michael Harbaugh,TRUE,,Safe R,
Ohio,11,House,Alan Rapoport,Shontel Brown,"Tony Evans /
Sean Freeman",TRUE,,Safe D,
Ohio,12,House,Troy Balderson,Jerrad Christian,n/a,TRUE,,Safe R,
Ohio,13,House,Kevin Coughlin,Emilia Sykes,Liam Walker,TRUE,,Tossup,
Ohio,14,House,David Joyce,Brian Kenderes,Maria Jukic,TRUE,,Safe R,
Ohio,15,House,Mike Carey,Adam Miller,n/a,TRUE,,Safe R,
Oklahoma,01,House,Kevin Hern,"Dennis Baker /
Sarah Gray",Mark Sanders,TRUE,,Safe R,
Oklahoma,02,House,Josh Brecheen,Brandon Wade,n/a,TRUE,,Safe R,
Oklahoma,03,House,"Frank Lucas /
Robin Carder /
Darren Hamilton /
Connor Miller",n/a,Unopposed,TRUE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
Oklahoma,04,House,Tom Cole,Kody Macaulay,n/a,TRUE,,Safe R,
Oklahoma,05,House,Stephanie Bice,Madison Horn,n/a,TRUE,,Safe R,
Oregon,01,House,Bob Todd,"Suzanne Bonamici /
Jamil Ahmad /
Courtney Casgraux",n/a,TRUE,,Safe D,
Oregon,02,House,"Cliff Bentz /
Jason Beebe","Steve Laible /
Dan Ruby",n/a,TRUE,,Safe R,
Oregon,03,House,"Joanna Harbour /
Gary Dye /
Teresa Orwig","Nolan Bylenga /
Maxine Dexter /
Susheela Jayapal /
Michael Jonas /
Eddy Morales /
Rachel Rand /
Ricky Barajas",n/a,FALSE,,Safe D,
Oregon,04,House,"Monique DeSpain /
Amy Ryan Courser /",Val Hoyle,n/a,TRUE,,Likely D,
Oregon,05,House,Lori Chavez-DeRemer,"Janelle Bynum /
Jamie McLeod-Skinner",Andrew Aasen,TRUE,,Tossup,
Oregon,06,House,"David Burch /
Mike Erickson /
David Russ /
Conrad Herold",Andrea Salinas,n/a,TRUE,,Likely D,
Pennsylvania,01,House,"Brian Fitzpatrick /
Mark Houck /
Quincy Richardson",Ashley Ehasz,n/a,TRUE,,Likely R,
Pennsylvania,02,House,Aaron Bashir,Brendan Boyle,n/a,TRUE,,Safe D,
Pennsylvania,03,House,n/a,"Dwight Evans /
Tracey Gordon",Unopposed,TRUE,,Safe D,We are not predicting this race since there is no Republican candidate.
Pennsylvania,04,House,David Winkler,"Madeleine Dean /
Erik Bonnett",Chuck Keller,TRUE,,Safe D,
Pennsylvania,05,House,Dasha Pruett,Mary Gay Scanlon,n/a,TRUE,,Safe D,
Pennsylvania,06,House,Neil Young,Chrissy Houlahan,n/a,TRUE,,Safe D,
Pennsylvania,07,House,"Kevin Dellicker /
Allen Issa /
Ryan Mackenzie /
Maria Montero","Susan Wild /
Jenna Alwalah",Lewis Shupe,TRUE,,Tossup,
Pennsylvania,08,House,Rob Bresnahan,Matt Cartwright,n/a,TRUE,,Tossup,
Pennsylvania,09,House,Dan Meuser,Amanda Waldman,n/a,TRUE,,Safe R,
Pennsylvania,10,House,"Scott Perry /
John Henry Newman","John Broadhurst /
Rick Coplen /
Shamaine Daniels /
Bob Forbes /
Blake Lynch /
Mike O'Brien /
Janelle Stelson",n/a,TRUE,,Likely R,
Pennsylvania,11,House,"Lloyd Smucker /
Jeffrey Wilder","James Atkinson /
David Baker",n/a,TRUE,,Safe R,
Pennsylvania,12,House,James Hayes,"Summer Lee /
Laurie MacDonald /
Bhavini Patel",n/a,TRUE,,Safe D,
Pennsylvania,13,House,John Joyce,"Beth Farnham / 
Padraic Lee",n/a,TRUE,,Safe R,
Pennsylvania,14,House,"Guy Reschenthaler /
Michael Gess /
George Karpacs","Kenneth Bach /
Christopher Dziados /
Kimberly Felan /
Phillip Vecchio",n/a,TRUE,,Safe R,
Pennsylvania,15,House,Glenn Thompson,Zach Womer,n/a,TRUE,,Safe R,
Pennsylvania,16,House,"Mike Kelly /
Timothy Kramer",Preston Nouri,n/a,TRUE,,Safe R,
Pennsylvania,17,House,"Rob Mercuri /
Jesse Vodvarka",Christopher Deluzio,n/a,TRUE,,Lean D,
Rhode Island,01,House,n/a,Gabe Amo,n/a,TRUE,,Safe D,
Rhode Island,02,House,n/a,Seth Magaziner,n/a,TRUE,,Safe D,
South Carolina,01,House,"Nancy Mace /
Austin Anderson /
Daniel Hanlon /
Catherine Templeton","Mac Deford /
Michael B. Moore",n/a,TRUE,,Safe R,
South Carolina,02,House,Joe Wilson,David Brown,n/a,TRUE,,Safe R,
South Carolina,03,House,"Andrew Adams /
Sheri Biggs /
Philip Healy /
Stewart Jones /
Patrick Orr",Daniel Duncan,"Michael Bedenbaugh /
Elspeth Murday",FALSE,,Safe R,
South Carolina,04,House,"William Timmons /
Adam Morgan",Kathryn Harvey,Dennis Gillan,TRUE,,Safe R,
South Carolina,05,House,Ralph Norman,Evangeline Hundley,Elizabeth Tedder,TRUE,,Safe R,
South Carolina,06,House,"Duke Buckner /
Justin Scott /
Dennis Whiteley",James Clyburn,Justin Ginn,TRUE,,Safe D,
South Carolina,07,House,Russell Fry,Mal Hyman,n/a,TRUE,,Safe R,
South Dakota,at-large,House,"Dusty Johnson /
Justin McNeal","Zach Kovach /
Bert Olson",n/a,TRUE,,Safe R,
Tennessee,01,House,Diana Harshbarger,"Kevin Jenkins /
Bennett Lapides","Richard Baker /
Levi Brake",TRUE,,Safe R,
Tennessee,02,House,Tim Burchett,Jane George,n/a,TRUE,,Safe R,
Tennessee,03,House,Charles J. Fleischmann,Jack Allen,"Jean-Howard Hill /
Stephen King",TRUE,,Safe R,
Tennessee,04,House,"Scott DesJarlais /
Thomas Davis /
Joshua James",Victoria Broderick,"Keith Nolan /
Earnest Ensley",TRUE,,Safe R,
Tennessee,05,House,"Andy Ogles /
Courtney Johnston",Maryam Abolfazli,"Yomi Faparusi /
Jim Larkin /
Bob Titley",TRUE,,Likely R,
Tennessee,06,House,John Rose,"Lore Bergman /
Cyril Focht /
Clay Faircloth",n/a,TRUE,,Safe R,
Tennessee,07,House,Mark Green,Megan Barry,Shaun Greene,FALSE,,Safe R,
Tennessee,08,House,David Kustoff,"Sarah Freeman /
Leonard Perkins /
Lawrence Pivnick /
Lynnette Williams /
Brenda Woods",James Hart,TRUE,,Safe R,
Tennessee,09,House,Charlotte Bergman,"Steve Cohen /
Kasandra Smith /
Corey Strong /
M. LaTroy Williams","Dennis Clark /
Wendell Wells",TRUE,,Safe D,
Texas,01,House,Nathaniel Moran,n/a,Unopposed,TRUE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
Texas,02,House,Daniel Crenshaw,Peter Filler,n/a,TRUE,,Safe R,
Texas,03,House,Keith Self,Sandeep Srivastava,n/a,TRUE,,Safe R,
Texas,04,House,Pat Fallon,Simon Cardell,n/a,TRUE,,Safe R,
Texas,05,House,Lance Gooden,Ruth Torres,n/a,TRUE,,Safe R,
Texas,06,House,Jake Ellzey,John Love III,n/a,TRUE,,Safe R,
Texas,07,House,Kenneth Omoruyi,Lizzie Pannill Fletcher,n/a,TRUE,,Safe D,
Texas,08,House,Morgan Luttrell,Laura Jones,n/a,TRUE,,Safe R,
Texas,09,House,n/a,Al Green,Unopposed,TRUE,,Safe D,We are not predicting this race since there is no Republican candidate.
Texas,10,House,Michael McCaul,Theresa Boisseau,n/a,TRUE,,Safe R,
Texas,11,House,August Pfluger,n/a,Wacey Cody,TRUE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
Texas,12,House,"Craig Goldman /
John O'Shea",Trey Hunt,n/a,FALSE,,Safe R,
Texas,13,House,Ronny L. Jackson,n/a,Mike Kolls,TRUE,,Safe R,
Texas,14,House,Randy Weber,Rhonda Hart,n/a,TRUE,,Safe R,
Texas,15,House,Vangela Churchill,Michelle Vallejo,n/a,TRUE,,Likely R,
Texas,16,House,Irene Armendariz-Jackson,Veronica Escobar,n/a,TRUE,,Safe D,
Texas,17,House,Pete Sessions,Mark Lorenzen,n/a,TRUE,,Safe R,
Texas,18,House,Lana Centonze,Sheila Jackson Lee,n/a,TRUE,,Safe D,
Texas,19,House,Jodey Arrington,n/a,Bernard Johnson,TRUE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
Texas,20,House,n/a,Joaquin Castro,"Pat Dixon /
William Hayward",TRUE,,Safe D,We are not predicting this race since there is no Republican candidate.
Texas,21,House,Chip Roy,Kristin Hook,n/a,TRUE,,Safe R,
Texas,22,House,Troy Nehls,Marquette Greene-Scott,n/a,TRUE,,Safe R,
Texas,23,House,"Tony Gonzales /
Brandon Herrera",Santos Limon,n/a,TRUE,,Safe R,
Texas,24,House,Beth Van Duyne,Sam Eppler,n/a,TRUE,,Safe R,
Texas,25,House,Roger Williams,n/a,Unopposed,TRUE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
Texas,26,House,Brandon Gill,Ernest Lineberger III,Phil Gray,FALSE,,Safe R,
Texas,27,House,Michael Cloud,Tanya Lloyd,Eric Loyd,TRUE,,Safe R,
Texas,28,House,"Jay Furman /
Lazaro Garza Jr.",Henry Cuellar,n/a,TRUE,,Likely D,
Texas,29,House,"Christian Garcia /
Alan Garza",Sylvia Garcia,n/a,TRUE,,Safe D,
Texas,30,House,n/a,Jasmine Crockett,Ken Ashby,TRUE,,Safe D,We are not predicting this race since there is no Republican candidate.
Texas,31,House,John Carter,"Brian Walbridge /
Stuart Whitlow",Caleb Ferrell,TRUE,,Safe R,
Texas,32,House,"David Blewett /
Darrell Day",Julie Johnson,"Kevin Hale / 
Clayton Chapman",FALSE,,Safe D,
Texas,33,House,Patrick Gillespie,Marc Veasey,n/a,TRUE,,Safe D,
Texas,34,House,Mayra Flores,Vicente Gonzalez Jr.,Brent Lewis,TRUE,,Lean D,
Texas,35,House,"Michael Rodriguez /
Steven Wright",Greg Casar,n/a,TRUE,,Safe D,
Texas,36,House,Brian Babin,Dayna Steele,n/a,TRUE,,Safe R,
Texas,37,House,Jenny Garcia Sharon,Lloyd Doggett,Girish Altekar,TRUE,,Safe D,
Texas,38,House,Wesley Hunt,Melissa McDonough,n/a,TRUE,,Safe R,
Utah,01,House,"Blake Moore /
Derek Draper /
Paul Miller",Bill Campbell,Daniel Cottam,TRUE,,Safe R,
Utah,02,House,"Colby Jenkins /
Ty Jensen /
Celeste Maloy",Brian Adams,Cassie Easley,TRUE,,Safe R,
Utah,03,House,"JR Bird /
Lucky Bovo /
Kathryn Dahlin /
John Dougall /
Chris Herrod /
Clayton Hunsaker /
Mike Kennedy /
Case Lawrence /
Stewart Peay /
Zac Wilson",Glenn Wright,n/a,FALSE,,Safe R,
Utah,04,House,Burgess Owens,"Katrina Fallick-Wang /
Jonathan Lopez",Vaughn Cook,TRUE,,Safe R,
Vermont,at-large,House,Mark Coester,Becca Balint,n/a,TRUE,,Safe D,
Virginia,01,House,Rob Wittman,"Herb Jones /
Leslie Mehta",n/a,TRUE,,Safe R,
Virginia,02,House,Jen Kiggans,"Jake Denton /
Missy Cotter Smasal",n/a,TRUE,,Lean R,
Virginia,03,House,Jim Wright,Robert Scott,Shanise Williams,TRUE,,Safe D,
Virginia,04,House,n/a,Jennifer McClellan,Unopposed,TRUE,,Safe D,We are not predicting this race since there is no Republican candidate.
Virginia,05,House,"Bob Good /
John McGuire",Paul Riley,n/a,TRUE,,Safe R,
Virginia,06,House,Benjamin Lee Cline,Rod Grandon,n/a,TRUE,,Safe R,
Virginia,07,House,"Derrick Anderson /
Cameron Hamilton /
Maria Martin /
William Moher /
Jonathon Myers /
John Prabhudoss /
Jeffrey Sacks /
Shaliek Tarpley /
Terris Todd","Carl Bedell /
Margaret Franklin /
Elizabeth Guzman /
Clifford Heinzer /
Whitney Kerr /
Briana Sewell /
Eugene Vindman",Craig Ennis,FALSE,,Lean D,
Virginia,08,House,"Heerak Christian Kim /
Adam Sahebian","Donald Sternhoff Beyer Jr. /
Andrew Campbell","Stephen Leon /
Jeremy Olmack",TRUE,,Safe D,
Virginia,09,House,H. Morgan Griffith,Karen Baker,n/a,TRUE,,Safe R,
Virginia,10,House,"Manga Anantatmula /
Aliscia Andrews /
John Beatty /
Mike Clancy /
Alexander Isaac /
Clair McDade /
Brooke Taylor","Jennifer Boysko /
Marion Devoe /
Eileen Filler-Corn /
Brandon Garay /
Dan Helmer /
Krystle Kaul /
Mark Leighton /
Michelle Maldonado /
Travis Nembhard /
Adrian Pokharel /
Atif Qarni /
David Reid /
Suhas Subramanyam",n/a,FALSE,,Safe D,
Virginia,11,House,Michael Van Meter,Gerald Edward Connolly,n/a,TRUE,,Safe D,
Washington,01,House,Jeb Brewer,Suzan DelBene,n/a,TRUE,,Safe D,
Washington,02,House,Leif Johnson,"Rick Larsen /
Joshua Binda",Jason Call,TRUE,,Safe D,
Washington,03,House,"Leslie French /
Joe Kent /
Leslie Lewallen",Marie Gluesenkamp Pérez,n/a,TRUE,,Tossup,
Washington,04,House,"Dan Newhouse /
Jerrod Sessler",n/a,Unopposed,TRUE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
Washington,05,House,"Cathy McMorris Rodgers /
Anthony Jensen","Bernadine Bank /
Carmela Conroy /
Ann Marie Danimus",n/a,TRUE,,Safe R,
Washington,06,House,"Elizabeth Kreiselmaier /
Drew MacEwen","Hilary Franz /
Emily Randall",n/a,FALSE,,Safe D,
Washington,07,House,Cliff Moon,Pramila Jayapal,n/a,TRUE,,Safe D,
Washington,08,House,Carmen Goers,Kim Schrier,n/a,TRUE,,Likely D,
Washington,09,House,C. Mark Greene,"D. Adam Smith /
David Ishii",n/a,TRUE,,Safe D,
Washington,10,House,"Don Hewett /
Nirav Sheth","Marilyn Strickland /
Eric Mahaffy /
Edward Saner",n/a,TRUE,,Safe D,
West Virginia,01,House,"Carol Miller /
Derrick Evans","Chris Reed /
Jim Umberger",Wes Holden,TRUE,,Safe R,
West Virginia,02,House,"Dennis Cain /
Joseph Earley /
Alexander Gaaserud /
Riley Moore /
Heather Rosen-Turley /
Rj Smith /
Chris Walker",Steven Wendelin,n/a,FALSE,,Safe R,
Wisconsin,01,House,"Bryan Steil /
Steven Trueblood","Diane Anderson /
Anthony Hammes /
Lorenzo Santos",n/a,TRUE,,Likely R,
Wisconsin,02,House,"Charity Barry /
Erik Olsen",Mark Pocan,n/a,TRUE,,Safe D,
Wisconsin,03,House,Derrick Van Orden,"Rebecca Cooke /
Tara Johnson /
Katrina Shankland /
Eric Wilson",Rustin Provance,TRUE,,Likely R,
Wisconsin,04,House,Tim Rogers,Gwen Moore,n/a,TRUE,,Safe D,
Wisconsin,05,House,Scott Fitzgerald,"Christopher Leon /
Ben Steinhoff",n/a,TRUE,,Safe R,
Wisconsin,06,House,Glenn Grothman,"Amy Washburn /
John Zarbano",n/a,TRUE,,Safe R,
Wisconsin,07,House,"Tom Tiffany /
Cheryl Ann Runkel","Elsa Duranceau /
Kyle Kilbourn",n/a,TRUE,,Safe R,
Wisconsin,08,House,Andre Jacque,Kristin Lyerly,n/a,FALSE,,Safe R,
Wyoming,at-large,House,Harriet Hageman,n/a,Unopposed,TRUE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
Arizona,,Senate,"Leonard Fulcher /
Kari Lake /
Mark Lamb /
Connie Moreno /
Elizabeth Reye /
Robert Walker /
Alan White /
Brian Wright /
George Nicholson","Ruben Gallego /
Alexander Keller /
Andrew Becerra",Richard Grayson,FALSE,,Tossup,
California,,Senate,Steve Garvey,Adam Schiff,n/a,FALSE,,Safe D,
Connecticut,,Senate,"John Flynn /
Robert Hyde /
Gerard Smith",Chris Murphy,n/a,TRUE,,Safe D,
Delaware,,Senate,"Eric Hansen /
William Taylor","Pamela Brown /
Lisa Blunt Rochester",n/a,FALSE,,Safe D,
Florida,,Senate,"Rick Scott /
Keith Gross /
Patricia Krentcil /
Shannon O'Dell /
Joe Smith /
Katy Sun /
Angela Marie Walls-Windhauser","Matt Boswell /
Stanley Campbell /
Alan Grayson /
Rod Joseph /
Bernard Korn /
Josue Larose /
Debbie Mucarsel-Powell /
Chase Anderson Romagnano /
Brian Rush /
Matthew Sanscrainte","Mason Cysewski /
Randy Toler /
Grace Granda /
Salomon Hernandez /
Marcos Reyes",TRUE,,Likely R,
Hawaii,,Senate,"Harry Friel, Jr. /
Adriel Lam",Mazie Hirono,n/a,TRUE,,Safe D,
Indiana,,Senate,"Jim Banks /
Erik Benson /
Wayne Harmon /
Douglas McGuire /
John Rust /
Anthony Tibby","Marc Carmichael /
Valerie Lin McCray /
RaeVen Ridgell /
Marshall Travis /
Aleem Young","Andy Horning /
Sean Dada /
Richard Kent",FALSE,,Safe R,
Maine,,Senate,Demi Kouzounas,"Natasha Alcala /
David Costello",Angus King,TRUE,,Likely I,"Our model predicts the margin between Democratic and Republican votes. As such, we are not predicting this race since there is an independent incumbent."
Maryland,,Senate,"Moe Barakat /
Chris Chaffee /
Robin Ficker /
Lorie Friend /
Larry Hogan /
John Myrick /
Christopher Puleo /
Laban Seyoum /
John Teichert","Angela Alsobrooks /
Michael Cobb Sr. /
Marcellus Crews /
Brian Frydenborg /
Scottie Griffin /
Robert Houton /
Joseph Perez /
Steven Seuferer /
David Trone /
Andrew Wildman","Nancy Wallace /
Michael Sigmon /
Shaunesi Deberry /
Emmanuel Osuchukwu",FALSE,,Likely D,
Massachusetts,,Senate,"Zakhai Akiba /
Robert Antonellis /
John Berman /
John Deaton /
Rebekah Etique /
Aaron Packard",Elizabeth Warren,"Louis Marino /
Brandon James Griffin /
Shiva Ayyadurai",TRUE,,Safe D,
Michigan,,Senate,"Rebekah Curran /
Michael Hoover /
Peter Meijer /
Sherry O'Donnell /
Sandy Pensler /
Mike Rogers /
Bensson Samuel /
Sharon Savage /
Alexandria Taylor /
J.D. Wilson /
Glenn Wilson","Nasser Beydoun /
Hill Harper /
Elissa Slotkin","Douglas Marsh /
James Frizzell",FALSE,,Lean D,
Minnesota,,Senate,"John Berman /
Joe Fraser /
David Hilbrich /
Patrick Munro /
Mike Ruoho /
Royce White","Amy Klobuchar /
Derek Logan",n/a,TRUE,,Safe D,
Mississippi,,Senate,Roger Wicker,Ty Pinkins,n/a,TRUE,,Safe R,
Missouri,,Senate,"Josh Hawley /
Christopher Murphy","December Harmon /
Lucas Kunce /
Karla May /
Samuel Rutherford","Doris Canaday /
Jared Young",TRUE,,Safe R,
